"gene_id","tSNE1","tSNE2","DGI_label","DGI_sub_label","Kmeans_label","Kmeans_subcel_label","HC_label"
"g_25017",26.3531816630273,6.51906787680149,"Cluster 4","Cluster 5","Cluster 4","Cluster 5","Cluster 1"
"g_25018",32.1301417711871,7.2461894659411,"Cluster 4","Cluster 5","Cluster 4","Cluster 6","Cluster 1"
"g_25022",-24.7578664648849,43.7104846139332,"Cluster 6","Cluster 2","Cluster 6","Cluster 6","Cluster 5"
"g_25023",11.9309333793884,22.9320865803394,"Cluster 6","Cluster 2","Cluster 6","Cluster 2","Cluster 5"
"g_25026",13.639813982397,-7.90830078743666,"Cluster 1","Cluster 3","Cluster 4","Cluster 6","Cluster 1"
"g_25027",-48.1130152829932,-12.3119469394755,"Cluster 2","Cluster 4","Cluster 7","Cluster 1","Cluster 2"
"g_25030",-44.4146376882555,-16.9252260851875,"Cluster 2","Cluster 4","Cluster 7","Cluster 1","Cluster 2"
"g_25032",32.4495954706114,9.24941597558018,"Cluster 4","Cluster 5","Cluster 5","Cluster 6","Cluster 1"
"g_25036",2.64079100939749,-8.34169500339477,"Cluster 1","Cluster 3","Cluster 4","Cluster 6","Cluster 1"
"g_25037",12.0264996533324,21.0468236762629,"Cluster 6","Cluster 2","Cluster 6","Cluster 2","Cluster 1"
"g_25038",6.42676190668755,-25.4626017603819,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_25040",-1.97967016500838,-28.4347172094912,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_25041",27.5863020936052,19.7472702849083,"Cluster 4","Cluster 5","Cluster 6","Cluster 2","Cluster 1"
"g_25042",-6.47106229555619,-10.2323057825401,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_25043",6.2803461927179,-38.2186206496905,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_25044",4.01878939284343,-39.1601905982926,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_25046",-11.4483538318873,-41.4535937582155,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_25047",-35.768923712209,-14.1889719838297,"Cluster 2","Cluster 4","Cluster 1","Cluster 4","Cluster 2"
